id,Disbursement Date,Loan Status,Written Off Or Repaid Date ,Loan Amount,Outstanding Balance,Outstanding Principal,Interest Rate,Loan Term (Months),Date of Birth,Gender,Province,Residential Status,Stated Income on application,"Qualified / Verified
Income",Aptitude for change Score,Financial Literacy Score,Self Assessments,Quiz Count,Mood Count,Inspiration Count,Total Activies ,Average total activities per month,Average activities per day,average_wellness_score,average_FICO,average_credit_utilisation
123,2022-07-19,Written off,2023-06-30 07:09:21.873,20479.34,32478.75,18658.79,0.2999,60,1974-10-10,MALE,ON,RENTER,110000,116000,,,6.0,48.0,4.0,0.0,58.0,2.3169,0.0772,21.0,565.5714285714286,0.9471189146049481
163,2022-07-26,Written off,2023-02-08 20:12:57.880,23500.0,24676.17,24676.16,0.2999,60,1986-02-20,MALE,ON,LIVE WITH FAMILY,70000,70000,,,2.0,14.0,4.0,3.0,23.0,0.9274,0.0309,,628.0,1.0201655629139073
1189,2022-08-12,Repaid,2023-08-29 04:42:12.323,16600.0,0.0,0.0,0.2499,60,1967-07-06,MALE,ON,LIVE WITH FAMILY,43728,44000,,,,,,,,,,,663.0,0.6794170634920635
1200,2022-08-12,Written off,2023-07-06 15:40:04.223,25000.0,39481.69,22777.45,0.2899,60,1988-08-15,FEMALE,ON,LIVE WITH FAMILY,93000,93000,,,4.0,24.0,4.0,4.0,36.0,1.4856,0.0495,48.2,612.5714285714286,0.938034632034632
1215,2022-08-31,Past due,,14400.0,24501.73,14474.83,0.2799,52,1972-03-07,FEMALE,ON,HOME OWNER,95970,115000,3.67,0.0,24.0,190.0,63.0,49.0,326.0,13.8136,0.4605,44.857142857142854,524.0,0.897726505804432
1233,2022-08-12,Active,,25000.0,4825.04,3223.87,0.2799,60,1972-02-03,FEMALE,ON,HOME OWNER,69032,69000,,,4.0,16.0,4.0,4.0,28.0,1.1554,0.0385,50.0,748.5,0.63645
1236,2022-09-01,Written off,2023-07-23 10:36:36.270,20200.0,28617.49,18233.05,0.2999,48,1979-09-30,FEMALE,ON,RENTER,60903,49000,4.33,0.0,9.0,80.0,14.0,11.0,114.0,4.8373,0.1612,36.285714285714285,599.1428571428571,1.7573573993233658
1280,2022-08-31,Active,,12800.0,10865.95,8179.77,0.2999,48,1979-03-14,MALE,ON,RENTER,96480,96500,5.0,0.0,24.0,194.0,28.0,16.0,262.0,11.1017,0.3701,60.47826086956522,574.3,0.8703903394255874
1295,2022-09-08,Active,,13000.0,15085.93,9913.26,0.2999,60,1983-09-14,MALE,ON,LIVE WITH FAMILY,74068,74000,4.33,1.0,5.0,7.0,1.0,0.0,13.0,0.5571,0.0186,42.0,652.2,0.16566666666666668
1316,2022-09-08,Written off,2023-08-11 18:49:53.893,19000.0,30727.05,17806.68,0.2799,51,1988-12-16,FEMALE,ON,LIVE WITH FAMILY,100000,100000,4.83,1.0,10.0,98.0,46.0,31.0,185.0,7.9286,0.2643,46.5,595.75,0.9231933050497685
1361,2022-09-08,Repaid,2023-03-01 00:52:32.960,11000.0,0.0,0.0,0.2999,36,1988-10-19,MALE,ON,RENTER,97500,97500,2.67,0.0,9.0,79.0,20.0,17.0,125.0,5.3571,0.1786,51.142857142857146,697.1428571428571,0.5551193708252532
1366,2022-09-15,Active,,13000.0,16227.78,10580.68,0.2799,40,1960-06-12,FEMALE,ON,RENTER,55769,40400,2.33,0.0,21.0,194.0,103.0,65.0,383.0,16.604,0.5535,39.0,658.15,0.7213776600985222
1372,2022-09-16,Active,,8000.0,9280.73,6195.26,0.2699,60,1961-04-26,MALE,ON,RENTER,73228,72300,4.5,0.0,0.0,1.0,1.0,1.0,3.0,0.1301,0.0043,55.0,615.65,0.8033513697706841
1383,2022-09-16,Written off,2023-06-25 20:22:41.793,10500.0,17323.17,9884.54,0.2799,60,1980-02-25,MALE,ON,LIVE WITH FAMILY,45000,45000,3.17,4.0,1.0,4.0,0.0,0.0,5.0,0.2168,0.0072,51.5,650.4,0.38177777777777777
1409,2022-09-15,Repaid,2024-03-09 16:19:10.200,25000.0,0.0,0.0,0.2699,60,1983-09-30,MALE,ON,HOME OWNER,82278,82500,3.17,0.0,19.0,165.0,75.0,45.0,304.0,13.1792,0.4393,52.94444444444444,676.8125,0.8232654367481315
1413,2022-09-23,Active,,25000.0,29001.05,19212.76,0.2899,60,1957-01-23,MALE,ON,RENTER,116729,109800,3.83,0.0,23.0,184.0,86.0,43.0,336.0,14.7153,0.4905,72.0,609.75,0.9196650914580443
1416,2022-09-29,Active,,11550.0,13268.03,8789.82,0.2899,60,1978-06-02,FEMALE,ON,HOME OWNER,65000,60200,5.0,0.0,23.0,196.0,16.0,13.0,248.0,10.9573,0.3652,32.09090909090909,673.35,0.53502671507456
1441,2022-09-27,Written off,2023-09-07 09:43:16.140,23875.0,38226.03,22061.03,0.2899,52,1975-09-06,FEMALE,ON,RENTER,97506,97500,4.17,0.0,9.0,72.0,22.0,20.0,123.0,5.4185,0.1806,35.333333333333336,555.3333333333334,0.9751619942387847
1449,2022-09-16,Written off,2024-05-26 21:00:59.870,19300.0,23403.04,15409.91,0.2699,60,1983-10-25,MALE,ON,LIVE WITH FAMILY,77000,77200,5.0,0.0,3.0,12.0,2.0,0.0,17.0,0.737,0.0246,41.666666666666664,678.4705882352941,0.44768640789649194
1461,2022-09-15,Active,,11000.0,2960.58,2031.73,0.2499,60,1960-07-01,MALE,ON,RENTER,91201,91000,4.67,0.0,19.0,177.0,1.0,15.0,212.0,9.1908,0.3064,54.88235294117647,654.85,0.3050387505748239
1463,2022-09-28,Active,,23350.0,29056.6,18427.76,0.2999,40,1989-02-28,MALE,ON,RENTER,120000,120000,4.0,0.0,24.0,164.0,33.0,14.0,235.0,10.3676,0.3456,24.347826086956523,665.35,0.4371197252747253
1469,2022-09-16,Active,,25000.0,29743.2,19781.05,0.2799,45,1967-04-07,FEMALE,ON,RENTER,81361,81400,4.0,0.0,23.0,195.0,50.0,37.0,305.0,13.2225,0.4408,56.31818181818182,568.95,0.7916302804117926
1477,2022-10-04,Written off,2024-08-07 14:50:24.670,20000.0,22249.62,15346.22,0.2499,60,1965-07-08,MALE,ON,RENTER,51000,48700,4.0,0.0,21.0,178.0,55.0,41.0,295.0,13.1306,0.4377,57.0,618.7,0.8045089635641463
1478,2022-09-21,Active,,20000.0,25113.26,16148.15,0.2899,59,1970-01-30,MALE,ON,RENTER,59300,59300,3.0,0.0,21.0,176.0,31.0,18.0,246.0,10.7424,0.3581,50.2,680.95,0.7252626512130276
1480,2022-09-16,Active,,14500.0,5918.06,3870.07,0.2999,60,1995-07-15,MALE,ON,LIVE WITH FAMILY,45572,45500,3.83,0.0,23.0,194.0,52.0,49.0,318.0,13.7861,0.4595,45.04545454545455,671.5,0.341312413485005
1556,2022-09-28,Written off,2024-06-09 12:25:38.000,7100.0,13237.15,7387.32,0.2999,53,1991-01-29,MALE,ON,LIVE WITH FAMILY,55785,55700,3.5,0.0,5.0,26.0,1.0,1.0,33.0,1.4559,0.0485,37.833333333333336,512.5833333333334,0.7258333333333334
1602,2022-10-12,Active,,10000.0,12576.07,8086.63,0.2899,42,1996-06-10,MALE,ON,LIVE WITH FAMILY,50000,37500,2.83,0.0,21.0,111.0,1.0,0.0,133.0,5.991,0.1997,50.19047619047619,662.5,0.9244899014778325
1669,2022-12-07,Written off,2023-07-28 14:43:16.903,14600.0,24776.55,13779.56,0.2999,60,1991-06-08,MALE,ON,RENTER,61172,60000,2.83,0.0,3.0,27.0,2.0,2.0,34.0,1.6721,0.0557,46.333333333333336,564.8571428571429,1.5598345143127246
